RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6A,Q6B,Q6C,Q6D,Q6E,Q7A,Q7B,Q8,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q12A,Q12B,Q13,Q14A,Q14B,Q14C,Q15,Q16,Q17,Q18,Q19A,Q19B,Q20,Q21A,Q21B,Q22A,Q22B,Q22C,Q23,Q24,Q25,Q26,Q27A,Q27B,Q27C,Q28,Q29A,Q29B,Q30,Q31,Q32A,Q32B,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q34A,Q34B,Q35A,Q35B,Q35C,Q36A,Q36B,Q36C,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q42A,Q42B,Q42C,Q42D,Q43A,Q43B,Q43C,Q43D,Q43E,Q44A,Q44B,Q44C,Q44D,Q44E,Q45PT1,Q45PT1OTHER,Q45PT2,Q45PT2OTHER,Q45PT3,Q45PT3OTHER,Q46A,Q46B,Q46C,Q46D,Q46E,Q46F,Q46G,Q46H,Q46I,Q46J,Q46K,Q46L,Q46M,Q46N,Q46O,Q46P,Q46Q,Q47A,Q47B,Q47C,Q48A,Q48B,Q49A,Q49B,Q50A,Q50B,Q50C,Q51A,Q51B,Q52A,Q52B,Q53A,Q53B,Q53C,Q54,Q55A,Q55B,Q55C,Q56A,Q56B,Q56C,Q57A,Q57B,Q58A,Q58B,Q58C,Q59,Q60,Q61A,Q61B,Q61C,Q62,Q63A,Q63B,Q63C,Q64A,Q64B,Q65A,Q65B,Q66A,Q66B,Q67A,Q67B,Q68A,Q68B,Q69,Q70A,Q70B,Q70C,Q70D,Q71,Q72A,Q72B,Q72C,Q72D,Q72E,Q73A,Q73B,Q73C,Q73D,Q74A,Q74B,Q74C,Q74D,Q74E,Q74F_NIG,Q75,Q76A,Q76B,Q76C,Q77,Q78A,Q78B,Q78C,Q78D,Q78E,Q79A_NIG,Q79B_NIG,Q80A_NIG,Q80B_NIG,Q81A_NIG,Q81B_NIG,Q81C_NIG,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q83A_NIG,Q83B_NIG,Q83C_NIG,Q83C_NIG_OTHER,Q83D_NIG,Q83D_NIG_OTHER,Q84A,Q84AOTHER,Q84B,Q84C,Q84D,Q84E,Q85A,Q85B,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q91A,Q91B,Q91C,Q92A,Q92B,Q93A,Q93B,Q93BOTHER,Q93C,Q94,Q95,Q95OTHER,Q96,Q96OTHER,Q97,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,Q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q117,Q117OTHER,Q118,Q119_1,Q119_2,Q119_3,Q119_4,Q119_5,Q119_6,Q119OTHER,withinwt_ea,withinwt_hh
NIG1425,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,9997,9997,2,2,1,2022-03-28,09:08:00,30,1,,2,1,4,1,4,0,0,0,3,4,4,0,0,2,3,3,1,1,0,2,0,0,0,0,1,0,0,9,1,0,3,3,4,4,4,2,4,4,5,1,2,1,3,4,3,2,1,3,4,4,1,4,2,1,1,1,3,2,3,3,2,1,0,0,3,1,1,2,0,0,1,2,1,0,0,1,0,0,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,2,0,4,4,1,4,3,14,,20,,3,,1,1,2,1,1,3,1,1,3,1,3,3,1,2,3,2,3,3,1,1,0,1,4,4,2,4,2,1,3,2,3,2,2,4,4,2,1,2,4,4,1,2,2,0,3,97,1,3,0,0,1,1,4,4,2,1,5,0,1,5,2,1,5,4,2,3,3,3,3,3,2,2,1,5,1,5,5,4,4,2,3,4,0,3,3,4,1,1,1,0,3,1,2,2,9,7,0,7,5,1,1,1,1,1,4,2,1,1,6,,1,,9995,MBULA,1,3,1,1,4,3,1,1,1,1,1,1,3,3,1,3,3,3,5,0,9997,,0,2,1,1,2,2,1,4,3,1,1,1,1,4,1,2,,7,6,1,,638,,2,10:21:00,73,0,2,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG20,35,2,2,620,,620,,6,1,620,621,623,9996,9996,,0.795149004374045,0.353399557499576
NIG1426,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,1,9997,9997,9997,9997,1,3,1,2022-03-28,09:16:00,27,9995,BOLAWA,1,1,1,1,3,2,0,1,2,3,0,0,2,2,4,4,3,4,1,0,3,1,3,3,0,0,3,3,3,1,2,1,1,4,4,1,1,4,1,1,1,1,3,1,4,1,1,4,4,3,3,1,3,3,1,4,3,0,0,3,2,2,2,1,3,2,2,1,1,1,1,1,1,3,2,1,1,3,0,0,2,2,3,3,1,1,1,1,1,1,1,0,0,1,1,2,1,0,7,7,7,0,7,7,7,7,7,7,7,1,4,3,1,0,7,7,3,2,3,4,4,4,4,4,,23,,3,,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,4,4,3,0,1,4,1,1,1,1,3,0,3,3,2,4,1,1,3,1,2,2,2,2,2,2,0,2,23,4,3,0,1,1,1,4,4,4,1,4,0,2,5,5,0,7,7,7,7,7,7,7,7,2,9,2,3,3,9,4,4,4,4,4,4,1,1,1,2,3,1,1,1,9,9,9,9,9,7,9,7,1,1,1,1,2,0,7,7,3,2,2,,1,,9995,BOLAWA,9,5,1,1,4,2,3,3,3,3,3,3,5,5,1,5,4,4,4,1,621,,2,2,2,1,2,2,1,4,4,4,1,1,1,2,3,4,,4,4,18,,621,,1,10:48:00,92,0,1,1,,620,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG18,27,1,2,620,,629,,8,1,620,623,630,9996,9996,,0.795149004374045,0.530099336249364
NIG1427,1,644,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,5,5,9997,9997,9997,9997,9997,1,1,1,2022-03-28,09:21:00,57,622,,1,1,1,1,5,2,3,3,3,4,0,0,0,2,4,4,0,1,0,1,0,0,0,0,1,0,3,4,0,3,3,1,1,3,3,1,4,2,5,4,5,1,3,3,4,1,1,1,4,4,2,4,2,1,2,5,1,9,9,0,2,3,1,1,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,1,3,3,3,2,3,2,2,0,0,9,9,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,9,9,9,9,1,,16,,8,,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,3,1,1,2,3,1,1,9,3,2,3,4,4,1,2,3,4,4,9,9,9,2,2,0,2,2,2,2,2,2,3,2,1,1,1,2,4,0,2,9,9,0,7,7,7,7,7,7,7,7,1,2,4,4,4,4,9,9,9,9,4,0,0,4,4,4,3,1,1,1,3,4,9,9,9,7,0,7,5,2,2,1,2,0,7,7,1,2,4,,2,,622,,2,2,1,1,4,2,1,3,1,1,1,1,3,3,1,3,3,1,4,1,621,,2,2,0,0,2,2,0,4,1,11,3,3,1,3,3,7,,1,5,1,,621,,1,11:05:00,104,0,1,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG13,38,1,2,1,,621,,8,1,621,623,9996,9996,9996,,1.07723360034556,0.2971678897505
NIG1428,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,1,1,9997,9997,9997,1,9,1,2022-03-28,09:22:00,19,620,,1,2,3,3,3,2,0,1,1,2,0,0,1,4,4,4,3,3,1,1,0,0,0,1,1,1,1,1,2,1,1,2,2,1,3,1,2,5,1,1,2,1,1,2,3,2,1,3,4,3,1,3,3,2,3,3,1,1,1,3,3,3,0,2,3,1,1,1,1,1,0,0,0,1,2,2,2,0,2,2,3,3,3,3,2,2,1,1,2,1,2,9,1,1,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,1,1,2,3,3,3,3,26,,14,,20,,2,1,4,1,1,2,9,1,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,4,5,3,3,2,3,3,3,2,2,1,2,2,2,2,1,0,3,97,3,3,1,1,1,3,2,2,1,3,1,0,1,4,5,0,7,7,7,7,7,7,7,7,1,1,4,5,5,4,4,5,4,4,2,3,0,3,3,2,2,1,1,0,2,4,4,4,0,7,1,1,1,1,1,1,3,1,2,2,1,2,6,,22,,628,,2,3,1,0,4,1,2,3,2,2,2,2,4,4,1,3,3,3,5,1,638,,0,1,0,0,2,2,0,4,3,4,3,2,1,4,1,1,,5,6,18,,638,,5,10:32:00,71,0,1,1,,620,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG19,33,1,2,620,,645,,8,1,620,623,9995,9996,9996,HAM,0.795149004374045,1.59029800874809
NIG1429,1,644,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,5,5,9997,9997,9997,9997,9997,1,14,1,2022-03-28,09:32:00,60,633,,1,2,1,1,1,0,0,0,0,0,0,0,2,3,3,3,4,3,3,0,0,0,0,0,2,2,3,4,0,1,4,1,1,1,1,1,1,5,5,1,1,2,3,1,1,1,1,1,1,1,1,4,1,1,3,3,2,2,2,0,3,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,2,2,1,1,3,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,3,3,2,3,3,,16,,1,,1,2,1,1,2,1,1,2,2,2,3,2,2,3,2,2,3,1,1,1,3,3,5,2,2,3,2,2,3,3,3,1,4,1,1,4,2,2,1,1,4,2,2,0,1,2,1,2,0,1,0,2,5,4,2,4,2,0,4,3,3,0,7,7,7,7,7,7,7,7,1,1,4,2,4,3,4,4,4,4,4,4,3,4,4,1,1,1,1,1,3,5,5,5,1,4,0,7,5,5,1,1,2,1,4,2,4,4,1,,0,,632,,1,2,1,1,5,2,1,2,1,2,2,2,3,3,3,3,3,3,5,0,9997,,2,2,1,2,2,2,1,4,4,11,3,1,1,3,3,7,,4,8,1,,9999,,1,10:28:00,57,0,1,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG12,26,2,2,622,,622,,8,1,620,622,623,9996,9996,,1.07723360034556,4.160350456507
NIG1430,1,644,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,5,5,9997,9997,9997,9997,9997,1,2,1,2022-03-28,09:32:00,29,1,,1,1,1,1,1,0,0,0,0,2,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,1,1,4,4,1,3,1,4,1,1,1,3,1,4,1,2,1,4,4,2,1,1,0,1,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,1,5,5,5,5,16,,14,,19,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,4,2,4,4,2,2,1,5,1,3,3,2,1,1,4,3,3,2,2,2,2,2,2,0,1,8,9,1,0,0,0,1,1,1,1,1,1,0,1,5,2,1,3,3,2,0,1,2,3,1,1,1,4,5,4,5,4,1,1,5,4,3,3,3,3,5,1,1,1,1,3,5,9,4,0,7,1,1,5,5,1,1,1,1,2,2,1,1,95,NONE,0,,621,,2,2,1,1,4,2,1,2,1,1,1,1,5,5,4,5,5,4,4,0,9997,,2,2,0,2,2,2,1,4,4,11,3,1,1,2,3,4,,1,5,2,,9998,,1,10:37:00,64,0,1,1,,1,,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,NIG11,32,2,2,1,,623,,8,1,622,623,9996,9996,9996,,1.07723360034556,0.594335779501
NIG1431,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,9997,9997,1,8,1,2022-03-28,09:38:00,38,620,,1,2,2,2,3,2,1,1,0,3,0,0,2,4,4,4,1,1,0,1,0,0,0,0,2,9,3,4,0,3,3,4,1,1,4,1,1,5,1,2,4,1,2,1,4,2,1,1,1,4,2,4,2,2,3,3,2,0,0,0,3,0,0,2,2,2,3,3,1,2,1,0,1,3,3,2,1,0,1,0,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,3,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,3,4,2,3,2,14,,3,,4,,2,1,2,1,2,1,3,2,2,3,4,3,2,2,3,2,3,4,4,3,1,3,2,2,4,4,3,4,3,2,3,3,3,3,1,3,2,4,4,4,3,2,2,0,3,97,2,3,2,1,1,2,4,3,4,3,4,1,3,3,3,1,4,4,3,3,1,9,1,3,4,2,4,5,3,3,2,3,2,4,4,3,3,3,3,3,2,1,1,1,3,4,5,5,1,2,1,1,4,2,1,3,3,1,4,1,3,4,6,,2,,620,,1,4,1,1,5,3,2,3,3,2,1,1,4,3,1,9,3,4,4,1,621,,2,2,1,2,2,2,1,4,4,4,2,1,1,3,3,4,,1,6,18,,621,,2,10:58:00,79,0,1,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG21,37,1,2,620,,635,,8,1,620,623,636,639,9996,,0.795149004374045,1.4135982299983
NIG1432,1,644,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,5,5,9997,9997,9997,9997,9997,2,3,1,2022-03-28,09:42:00,33,621,,1,1,1,1,4,1,1,1,4,4,0,0,1,3,4,4,1,1,0,0,0,0,0,0,0,0,3,2,1,3,1,2,2,3,3,2,3,1,5,1,1,1,3,2,3,3,2,2,3,3,2,2,2,1,1,4,2,9,9,3,3,3,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,1,3,2,2,2,2,1,1,0,7,7,7,0,7,7,7,7,7,7,7,1,4,0,2,0,7,7,0,7,2,5,5,5,3,3,,13,,16,,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,1,4,4,4,5,4,3,3,3,4,4,2,3,3,2,2,2,2,2,1,0,1,6,1,1,0,2,0,1,1,1,1,1,1,0,1,5,2,0,7,7,7,7,7,7,7,7,2,1,4,1,1,5,4,4,4,1,3,4,0,4,4,2,2,1,1,0,3,5,4,3,0,7,1,0,5,4,1,1,1,1,1,0,1,1,4,,7,,621,,3,3,1,1,4,2,1,3,2,2,1,2,3,3,1,4,3,3,4,0,9997,,0,2,1,2,2,2,1,4,4,5,3,2,1,2,3,5,,1,6,2,,9999,,1,10:58:00,76,0,2,1,,1,,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,NIG10,35,1,2,621,,621,,8,1,621,622,623,9996,9996,,1.07723360034556,0.8915036692515
NIG1433,1,644,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,5,5,9997,9997,9997,9997,9997,2,2,1,2022-03-28,10:45:00,33,622,,1,3,4,2,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,2,1,2,2,1,0,2,2,1,1,1,1,1,1,1,4,4,4,1,1,1,3,1,1,4,1,1,1,1,1,1,2,2,3,3,2,1,2,2,2,1,2,2,1,1,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,2,1,2,2,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,3,4,3,3,3,3,,24,,1,,2,3,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,3,3,4,2,2,3,2,5,3,3,3,4,4,2,1,4,4,4,9,9,9,2,1,0,1,2,1,1,0,1,1,1,5,5,5,4,1,0,1,3,3,1,2,4,4,3,2,3,2,2,1,1,4,5,4,3,2,1,1,1,4,4,0,4,4,1,1,1,1,1,2,5,4,4,0,7,0,7,5,5,2,2,2,1,4,2,3,4,4,,0,,622,,1,2,1,1,4,3,0,1,0,0,0,0,3,3,3,3,3,3,1,0,9997,,2,2,0,0,2,2,1,4,4,11,3,2,1,2,3,7,,4,8,1,,9997,,1,11:46:00,62,0,2,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG12,26,2,2,622,,622,,8,1,620,622,623,9996,9996,,1.07723360034556,0.594335779501
NIG1434,1,644,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,5,5,9997,9997,9997,9997,9997,2,2,1,2022-03-28,10:54:00,30,1,,1,1,1,1,4,0,0,0,0,1,0,0,0,2,3,4,0,0,2,1,0,0,0,0,0,0,0,9,1,2,3,1,2,4,5,5,4,2,4,4,4,1,1,1,1,4,2,1,4,3,1,4,3,3,2,5,2,9,9,2,2,2,0,2,1,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,1,1,3,9,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,3,4,3,3,16,,17,,20,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,5,5,4,1,1,5,9,3,3,4,3,1,4,4,4,4,9,9,9,2,2,1,7,97,4,4,1,2,2,9,4,4,4,3,5,0,2,5,2,0,7,7,7,7,7,7,7,7,5,3,4,3,4,4,5,1,1,5,3,3,0,2,2,2,4,1,0,0,9,9,9,9,9,7,0,7,4,1,3,3,2,1,2,1,2,2,98,,1,,622,,0,4,0,1,3,2,1,1,1,1,1,1,5,5,1,5,5,3,9,0,9997,,2,2,0,0,2,2,1,4,4,11,2,2,1,2,3,8,,4,5,1,,9999,,1,11:40:00,46,0,2,1,,1,,1,1,1,0,0,0,0,0,0,3,1,2,3,3,2,NIG11,32,2,2,1,,623,,8,1,622,623,9996,9996,9996,,1.07723360034556,0.594335779501
NIG1435,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,6,9997,9997,9997,9997,2,2,1,2022-03-28,10:57:00,28,620,,1,2,2,2,4,2,0,1,3,3,1,1,1,3,4,4,1,1,0,1,0,0,0,0,1,0,3,2,1,1,1,3,2,3,3,1,3,4,4,1,1,1,3,2,3,1,2,2,4,3,1,2,2,3,1,3,3,1,1,3,3,2,0,2,2,0,0,0,0,0,0,0,0,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,0,1,0,1,0,0,7,7,7,1,2,0,2,1,1,1,1,1,3,1,2,0,7,7,0,7,2,3,3,3,3,23,,4,,14,,1,1,1,2,1,1,3,1,2,1,1,1,2,2,2,2,2,2,2,2,0,3,1,1,3,3,1,4,1,3,3,1,3,3,3,2,2,1,2,1,2,2,2,1,7,97,3,3,1,1,2,1,1,1,1,3,1,0,1,4,4,0,7,7,7,7,7,7,7,7,2,2,3,4,4,4,4,4,4,4,0,2,0,2,3,4,1,1,1,1,2,4,4,9,9,7,9,7,1,1,1,1,2,0,7,7,1,2,1,,22,,628,,2,3,1,1,5,3,2,3,3,2,2,2,4,4,1,3,3,4,4,0,9997,,0,1,1,0,1,2,0,4,0,4,3,2,1,4,3,4,,2,6,18,,9997,,8,12:54:00,117,0,2,1,,620,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG19,33,1,2,620,,645,,8,1,620,623,9995,9996,9996,HAM,0.795149004374045,0.353399557499576
NIG1436,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,7,1,9997,9997,9997,1,6,1,2022-03-28,11:01:00,32,1,,1,3,3,4,4,0,0,0,0,3,0,0,1,2,4,4,2,1,0,0,0,0,0,0,0,0,3,1,3,0,2,1,1,2,4,1,4,2,4,1,4,1,2,1,1,1,2,1,4,4,1,4,2,1,3,1,3,0,0,2,0,3,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,2,2,2,2,3,2,2,2,2,2,9,1,1,0,7,7,7,0,7,7,7,7,7,7,7,1,2,3,2,0,7,7,3,3,1,5,4,5,3,23,,1,,29,,3,1,1,1,1,3,3,3,2,1,3,3,3,1,1,1,1,3,1,1,0,1,4,4,3,2,3,1,3,3,1,4,4,2,1,1,2,3,3,1,1,2,1,1,7,97,3,3,0,1,0,1,4,4,4,1,5,0,1,5,5,1,5,4,5,1,3,3,3,3,4,1,3,5,1,5,4,4,4,2,3,4,0,4,4,1,4,0,0,0,3,2,2,2,9,7,0,7,2,1,1,1,1,1,4,3,1,3,6,,95,BOKO HARAM,625,,3,3,1,1,4,3,3,3,3,1,3,3,5,5,1,3,3,5,5,1,621,,1,2,2,2,2,2,1,4,4,4,2,1,1,4,2,11,,4,8,18,,9999,,2,12:05:00,64,0,1,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG20,35,2,2,620,,620,,6,1,620,621,623,9996,9996,,0.795149004374045,1.06019867249873
NIG1437,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,9997,9997,2,2,1,2022-03-28,11:02:00,31,9995,KAREKARE,1,1,1,1,4,1,1,3,3,3,0,0,1,2,4,4,1,1,0,3,3,3,3,3,0,0,3,3,2,0,1,2,1,4,4,1,2,4,1,1,1,1,3,1,4,2,4,1,4,1,4,1,3,3,3,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,1,1,1,1,0,2,2,3,3,0,0,1,1,1,1,1,0,0,2,9,2,1,0,7,7,7,1,2,0,1,2,2,2,9,0,7,7,7,0,7,7,0,7,3,4,4,4,4,3,,4,,23,,1,1,1,1,1,1,1,1,1,3,1,1,3,2,3,9,9,4,4,4,0,1,1,1,1,1,1,5,3,2,2,2,4,1,2,3,3,2,1,3,3,2,2,0,2,95,3,3,0,1,1,1,4,4,4,9,4,0,1,5,5,9,7,7,7,7,7,7,7,7,5,9,0,9,3,9,4,4,4,4,3,4,0,0,3,1,1,1,1,1,3,9,9,9,9,7,9,7,2,2,1,1,2,0,7,7,9,2,2,,1,,9995,KAREKARE,1,5,1,1,4,2,3,3,3,2,3,2,4,5,1,4,2,4,4,1,621,,2,2,0,0,0,2,0,4,3,4,2,2,1,2,1,2,,2,0,18,,621,,1,12:49:00,107,0,2,1,,620,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG18,27,1,2,620,,629,,8,1,620,623,630,9996,9996,,0.795149004374045,0.353399557499576
NIG1438,1,644,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,5,5,9997,9997,9997,9997,9997,2,3,1,2022-03-28,11:13:00,28,621,,1,1,1,1,5,2,2,1,2,3,1,1,0,3,4,4,0,0,0,1,0,0,0,0,0,1,0,2,1,0,3,1,1,4,3,2,1,2,5,1,1,1,3,4,4,4,1,1,4,4,1,1,1,1,2,9,1,3,9,2,3,3,0,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,9,2,3,1,3,3,3,3,3,1,1,9,9,1,1,1,2,1,1,1,4,3,0,1,3,3,3,1,4,3,0,1,1,3,0,7,1,1,9,9,5,1,,17,,23,,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,9,1,1,1,3,0,1,5,3,4,1,1,4,5,3,3,3,1,4,3,3,4,3,2,1,2,2,1,0,1,6,1,1,1,0,1,1,2,1,2,1,4,0,1,5,1,0,7,7,7,7,7,7,7,7,1,2,4,4,1,5,9,9,9,9,4,4,0,4,4,4,1,1,1,1,1,4,9,9,9,7,0,7,5,2,1,1,1,1,3,9,1,2,4,,2,,621,,0,2,1,1,4,2,1,2,0,0,0,0,3,3,1,3,3,5,5,0,9997,,2,2,0,0,2,2,1,4,3,4,3,3,1,4,3,11,,3,6,1,,9999,,1,12:23:00,70,0,2,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG13,38,1,2,1,,621,,8,1,621,623,9996,9996,9996,,1.07723360034556,0.8915036692515
NIG1439,1,655,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,9997,9997,2,4,2,2022-03-28,11:14:00,35,620,,1,2,2,2,4,3,2,1,1,3,1,2,1,4,2,4,3,1,0,1,0,0,0,0,1,0,3,2,3,2,1,4,2,2,3,2,4,2,4,2,3,3,3,1,4,3,1,1,1,4,1,1,3,2,3,3,1,0,0,0,3,1,2,2,0,2,1,2,2,1,2,1,2,1,1,1,2,2,2,1,3,2,1,1,2,1,2,1,2,2,1,1,2,1,1,3,1,1,4,0,0,1,3,0,1,2,1,2,1,1,3,2,1,1,3,3,0,7,2,3,4,3,3,1,,3,,1,,1,1,1,1,1,3,1,2,9,2,3,3,2,3,3,2,3,3,3,3,1,0,2,3,3,3,2,3,5,2,1,2,2,3,4,2,3,2,4,5,2,2,1,0,4,97,1,9,2,1,2,3,4,3,4,4,2,1,3,2,2,1,2,4,3,3,2,3,2,3,3,2,4,4,4,2,5,4,3,4,4,3,2,4,4,3,2,1,1,1,3,4,5,2,0,7,0,7,5,2,1,1,1,0,7,7,4,4,1,,2,,620,,2,3,1,1,5,2,3,3,2,2,3,2,3,3,1,4,4,5,5,1,621,,2,2,1,1,2,2,1,4,3,4,2,1,1,3,3,4,,1,6,18,,621,,8,12:21:00,66,0,2,1,,620,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG21,37,1,2,620,,635,,8,1,620,623,636,639,9996,,0.795149004374045,0.706799114999152
